date,responsible_technician,equipment,problem_description,applied_solution,filename
10/07/2023,Fernanda Costa Santo,Servidor Dell PowerEdge R740 (Patrimônio TI-2020-0156),"Servidor apresentando lentidão extrema e timeouts frequentes nas aplicações, com alertas de temperatura crítica disparados pelo sistema de monitoramento e relatos de indisponibilidade do sistema ERP.",Realizada limpeza completa interna do servidor com ar comprimido e produtos antiestáticos. Substituídos os dois ventiladores defeituosos por unidades originais Dell. Aplicada pasta térmica nova nos processadores e verificado o funcionamento do sistema de redundância de cooling.,001_pjpo.pdf
14/09/2023,Marcos Vinícius Almeida,Elevador de Passagei - Atlas Schindler 3300,Elevador parando entre andares com frequência e apresentando trancos durante aceleração e frenagem. Passageiros reclamando de desconforto e insegurança. Sistema indicando falha no encoder do motor.,Substituição do encoder incremental por unidade nova compatível com o sistema de controle. Troca completa do chicote de cabos entre encoder e inversor de frequência. Calibração do sistema de controle de velocidade e realização de testes de nivelamento em todos os andares.,002_6qvg.pdf
10/07/2023,Fernanda Costa Santo,Servidor Dell PowerEdge R740,"Servidor apresentando lentidão extrema e timeouts frequentes nas aplicações, com alertas de temperatura crítica disparados pelo sistema de monitoramento e relatos de indisponibilidade do sistema ERP.",Realizada limpeza completa interna do servidor com ar comprimido e produtos antiestáticos. Substituídos os dois ventiladores defeituosos por unidades originais Dell. Aplicada pasta térmica nova nos processadores e verificado o funcionamento do sistema de redundância de cooling.,003_w9rf.pdf
14/09/2023,Marcos Vinícius Almeida,"Elevador de Passageiros, modelo Atlas Schindler 3300, patrimônio ELV-2017-0004, localizado na Torre Administrativa - Hall Principal",Encoder incremental do motor de tração com leitura intermitente e cabos de comunicação com isolamento danificado.,Substituição do encoder incremental por uma unidade nova compatível com o sistema de controle; troca completa do chicote de cabos entre o encoder e o inversor de frequência; calibração do sistema de controle de velocidade e realização de testes de nivelamento em todos os andares.,004_6hhe.pdf
08/11/2024,Vanessa Cristina Borges,Transmissor de Press - Yokogawa EJA530A,Transmissor apresentando leitura com erro de 8% em relação ao manômetro padrão. Sinal de saída 4-20mA instável com oscilações de ±0.5mA. Instrumento não responde aos comandos do HART communicator.,"Transmissor enviado para laboratório de calibração credenciado. O orçamento de reparo foi superior a 60% do valor de um equipamento novo, sendo recomendada a aquisição de novo transmissor. Aguardando aprovação da gerência para compra no valor de R$ 8.500,00. Instrumento provisório instalado para continuidade operacional.",005_3spn.pdf
18/11/2023,Ricardo Barbosa Lima,Empilhadeira Toyota 8FG25 (Patrimônio: VEI-2019-0078),"Bicos injetores com vazamento, filtro de combustível obstruído e velas de ignição desgastadas.","Substituição do jogo completo de bicos injetores (4 unidades), do filtro de combustível, das velas de ignição e dos cabos de vela. Limpeza do corpo de borboleta, regulagem da marcha lenta e realização de teste de emissões, aprovado dentro dos parâmetros.",006_b7qv.pdf
05/10/2023,Ana Paula Rodrigues - Hidráulica e Pneumática (Mat. 267891),"Compressor de Ar, modelo Atlas Copco GA37, patrimônio PNE-2016-0012, localizado na Casa de Compressores",Radiador de óleo obstruído por sujeira externa e elemento separador de óleo saturado,Desmontagem e limpeza química do radiador de óleo com produto desengraxante industrial. Substituição do elemento separador de óleo e filtro de ar de admissão. Troca completa do óleo lubrificante (15 litros) por óleo sintético especificado. Ajuste dos parâmetros de operação no controlador Elektronikon.,007_v81m.pdf
14/09/2023,Marcos Vinícius Almeida,Elevador de Passagei - Atlas Schindler 3300,Elevador parando entre andares com frequência e apresentando trancos durante aceleração e frenagem. Passageiros reclamando de desconforto e insegurança. Sistema indicando falha no encoder do motor.,Substituição do encoder incremental por unidade nova compatível com o sistema de controle. Troca completa do chicote de cabos entre encoder e inversor de frequência. Realizada calibração do sistema de controle de velocidade e testes de nivelamento em todos os andares.,008_cu07.pdf
14/09/2023,Marcos Vinícius Alme - 312456,"Elevador de Passageiros, modelo Atlas Schindler 3300, patrimônio ELV-2017-0004",Elevador parando entre andares com frequência e apresentando trancos durante a aceleração e frenagem. Passageiros relataram desconforto e insegurança. O sistema indicava falha no encoder do motor.,"Substituição do encoder incremental por uma unidade nova compatível com o sistema de controle, troca completa do chicote de cabos entre o encoder e o inversor de frequência, calibração do sistema de controle de velocidade e testes de nivelamento em todos os andares.",009_jc20.pdf
10/05/2024,Camila Andrade Pinto - 256789,"Gerador de Emergência, modelo Cummins C150D5, patrimônio GER-2018-0002, local Casa de Força",Gerador não partiu automaticamente durante o teste semanal programado. A bateria de partida apresentava tensão abaixo do nominal e o último teste manual apresentou dificuldade de ignição.,Substituição do banco de baterias (2 unidades de 12V 150Ah) e do carregador automático; limpeza dos bornes e aplicação de vaselina protetora; verificação do sistema de pré-aquecimento do bloco do motor; realização de teste completo de transferência automática com carga real.,010_np9p.pdf
